"ADM0_NAME","ECO_NAME","BIOME_NAME","CSIRO68","GHM1","HFP4","LIA","ensb_thr3","Natural","Integ1km10","Integ1Km20","Integ1Km30","Area (ha)"
"Abyei","East Sudanian savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands",0,0,0,0.295132234572633,0,0.985038581610414,1,0.999852741944984,0.99952877422395,261368.183848905
"Abyei","Sahelian Acacia savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands",0.000994329046427518,0,0,0.11204954954955,0,0.92509608665269,0.999050052410902,0.99775069881202,0.99491177498253,705356.166689429
"Abyei","Sudd flooded grasslands","Flooded Grasslands & Savannas",0,0,0,0,0,0.987777146105742,1,1,1,27088.327666071
"Afghanistan","Afghan Mountains semi-desert","Deserts & Xeric Shrublands",0.586767200540114,0.0355798331733963,0.033043985702823,0.0241288817611897,0.381606998456223,0.915965095032361,0.999022361364625,0.997547426775996,0.995761682216584,1368246.03232917
"Afghanistan","Badghyz and Karabil semi-desert","Deserts & Xeric Shrublands",0.598146422016237,0,3.71402042711235e-05,0.00150361982550585,0.0519337429270388,0.773675929568014,0.948667569002047,0.92342998678141,0.900739751996813,5377561.98150074
"Afghanistan","Baluchistan xeric woodlands","Deserts & Xeric Shrublands",0.531133057464412,0.190875989287111,0.214300729751644,0.169959762176446,0.199206897587647,0.798537681480015,0.966222660593569,0.953025770342007,0.93893094255526,3323120.95095148
"Afghanistan","Central Afghan Mountains xeric woodlands","Deserts & Xeric Shrublands",0.825566625661015,0.0368945971155916,0.0198014838580309,0.0575473116662729,0.167946257197697,0.904875934060932,0.991719019288626,0.987531364408651,0.983232734177412,13930748.6583684
"Afghanistan","Central Persian desert basins","Deserts & Xeric Shrublands",0.948798103203236,0.360816110694928,0.226409273216096,0.376007753645535,0.399664888222585,0.944039436465749,0.978177395772127,0.9722093166259,0.967816099807327,2262990.2758075
"Afghanistan","East Afghan montane conifer forests","Temperate Conifer Forests",0.596321992304663,0.0605656977199718,0.0556726790036699,0.0501211979044491,0.254501330828245,0.914973732956788,0.998055252635405,0.996037804434751,0.992778383618078,1275784.12097922
"Afghanistan","Ghorat-Hazarajat alpine meadow","Montane Grasslands & Shrublands",0.74210672624981,0.00436694328976395,0,0.0131719099269394,0.33595449975239,0.905094216071805,0.999585992112917,0.998549809451707,0.996879822581339,6648204.92371927
"Afghanistan","Gissaro-Alai open woodlands","Temperate Grasslands, Savannas & Shrublands",0.724939975990396,0.0116042935886278,0.00548245614035088,0.0115511551155116,0.476421834809946,0.878101833355529,0.997151299985119,0.994982886540955,0.990688577563299,364431.824924337
"Afghanistan","Hindu Kush alpine meadow","Montane Grasslands & Shrublands",0.657629829231157,0.156059252642549,0.147421188265612,0.1457414139988,0.615347400543337,0.898476132226255,0.998689438024431,0.997024447338488,0.993870306567097,2826821.98720839
"Afghanistan","Karakoram-West Tibetan Plateau alpine steppe","Montane Grasslands & Shrublands",0.99682473942155,0.943679918450561,0.956974939010867,0.773635153129161,0.931392405063291,0.993389971813093,1,1,1,450316.582752115
"Afghanistan","Northwestern Himalayan alpine shrub and meadows","Montane Grasslands & Shrublands",0.510504414899016,0.0865573770491803,0.0397912589693412,0.073202614379085,0.427635887360838,0.866649746192893,1,0.999949292632219,0.999442218954414,152387.949799701
"Afghanistan","Pamir alpine desert and tundra","Montane Grasslands & Shrublands",0.995053432264688,0.909675987572126,0.931845356715823,0.782211633909073,0.902082410279132,0.993228068370793,1,1,1,501484.838914536
"Afghanistan","Paropamisus xeric woodlands","Deserts & Xeric Shrublands",0.38043535590232,0.0264712885002489,0.0207739483458582,0.0305176994017408,0.161691353883774,0.719571542363644,0.942235318436343,0.909878259326798,0.879346431593157,9241918.45300091
"Afghanistan","Registan-North Pakistan sandy desert","Deserts & Xeric Shrublands",0.9728699466557,0.481503613730288,0.44726463303759,0.482344482650828,0.54487271726278,0.951181869005983,0.9897803249688,0.984943839284632,0.981101888987168,15942559.1684757
"Afghanistan","Sulaiman Range alpine meadows","Montane Grasslands & Shrublands",0.669105396595436,0.0550351288056206,0.0177902621722846,0.187207122774133,0.144392523364486,0.916227522138317,0.998931565889788,0.997247423987251,0.995327864399413,426672.791352389
"Afghanistan","Western Himalayan subalpine conifer forests","Temperate Conifer Forests",0.512728576550735,0,0,0,0,0.819713261648745,1,1,1,21583.4143453657
"Aksai Chin","Central Tibetan Plateau alpine steppe","Montane Grasslands & Shrublands",0.999884969789434,0.986167286846789,0.984500978473581,0.878297408761964,0.985150512468727,0.998660817652176,1,1,1,1259140.58502013
"Aksai Chin","Karakoram-West Tibetan Plateau alpine steppe","Montane Grasslands & Shrublands",0.999175797537089,0.846794871794872,0.835701050030883,0.817990373044525,0.843472750316857,0.994923357484351,0.999952633573323,0.999952633573323,0.999952633573323,214692.370246639
"Aksai Chin","North Tibetan Plateau-Kunlun Mountains alpine desert","Montane Grasslands & Shrublands",0.999441282979824,0.999815770081061,0.999733712053968,0.887438682550806,0.999263826262998,0.999636671914739,1,1,1,1139004.06521797
"Albania","Aegean and Western Turkey sclerophyllous and mixed forests","Mediterranean Forests, Woodlands & Scrub",NA,NA,0,0,NA,0.333333333333333,0.5,0.5,0.5,97.8141625243189
"Albania","Balkan mixed forests","Temperate Broadleaf & Mixed Forests",0.121140454605177,0,0,0,0.825719120135364,0.90149921094161,1,0.99540018399264,0.979235116309633,58854.3674492731
